good_id,good,first_course,main_course,drink,bakery,dessert,snacks,salad,meat&fish
157.0,Суп-пюре из тыквы 250гр,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
158.0,С-т из б/к/морковь/заправка 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
159.0,Рыба запеч/жульен овощной 80/20гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
160.0,С-т из сельди/грибы/перец/икра 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
161.0,Капуста цветная/брокколи/с.терияки 150гр,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
162.0,Рулет куриный/овощи на пару 100гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
163.0,Рулетики рыбные/овощи 100/40гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
164.0,Пирожок Слойка/курица,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0
165.0,С-т коктейль/кальмары/майонез 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
166.0,Овощи по-карпатски 150гр,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
167.0,Пирожок с картоф/грибы,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0
168.0,Шницель свиной рубленый 100гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
169.0,Баклажаны с овощами 200гр,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
170.0,Суп-пюре сырный/по-гетеборгски/бр 250гр,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
171.0,Террин из овощей/микс грибов 120гр,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0
172.0,Бифштекс рубл.с яйцом 100/40гр,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
173.0,Щи Боярские/мясо 250гр,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
174.0,С-т из запеченых овощей/Тофу 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
175.0,С-т из помидор/огурец/базилик 120гр,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
